Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
55	200.0	0.0	200.0	200.0	200.0	68.75056640625	7.7266546063772	76.57184	44.748417	33600	-0.9585602283477783	736.2786254882812	-0.06757605075836182	-154.3568115234375	0.5256169438362122	0.006347069051116705	0.06666667014360428	79.0	101.5261754989624
56	200.0	0.0	200.0	200.0	200.0	59.6594140625	6.063163355031073	74.95361	51.648804	34200	-2.8700711727142334	438.6329650878906	-0.029698610305786133	-75.07687377929688	0.5171006917953491	-0.0026258877478539944	0.05166666954755783	79.0	103.44887971878052
57	200.0	0.0	200.0	200.0	200.0	60.48055338541667	8.163814739063472	80.043976	50.0555	34800	-2.7319772243499756	453.74127197265625	-0.05564117431640625	-116.96261596679688	0.5092633962631226	0.008706369437277317	0.11666666716337204	79.0	105.45019698143005
58	200.0	0.0	200.0	200.0	200.0	65.28916015625	14.061984712781479	82.32742	40.85815	35400	-0.5143676996231079	336.7305603027344	-0.024549782276153564	-121.51785278320312	0.5095378756523132	0.0034599280916154385	0.030000001192092896	79.0	107.34292554855347
59	200.0	0.0	200.0	200.0	200.0	68.8820703125	11.834908199193324	83.10096	37.269985	36000	-0.0327594019472599	382.69122314453125	-0.07973267138004303	-36.46417236328125	0.4971800744533539	0.004791855346411467	0.0833333358168602	79.0	109.51549410820007
60	200.0	0.0	200.0	200.0	200.0	73.63114583333333	8.03818523517591	82.72453	41.685596	36600	1.6753591299057007	449.1297912597656	-0.10281836986541748	-253.44557189941406	0.5058630108833313	0.006072523538023233	0.08666666597127914	79.0	111.54360008239746
61	200.0	0.0	200.0	200.0	200.0	68.77720703125	13.46389945527174	83.148575	31.798986	37200	-0.13399983942508698	689.8280639648438	-0.08216512203216553	-243.0841064453125	0.5158162713050842	0.0006015184335410595	0.05833333358168602	79.0	113.45801186561584
62	188.33333333333334	16.49915781665398	200.0	165.0	188.33333333333334	66.41783854166667	12.537380566064561	78.273125	24.657969	37800	1.7516882419586182	436.8504943847656	-0.08425629138946533	-193.31829833984375	0.4956611096858978	0.005699921865016222	0.05833333358168602	79.0	115.48060607910156
63	169.66666666666666	23.098821225166176	200.0	144.0	169.66666666666666	56.802532552083335	13.17677288830615	75.02322	21.593985	38400	-0.5201363563537598	219.79188537597656	-0.07498341798782349	-171.19400024414062	0.4979069232940674	0.007752755656838417	0.06666667014360428	79.0	117.29526472091675
64	200.0	0.0	200.0	200.0	200.0	58.55841145833333	18.93797647915426	76.8963	5.7341833	39000	-3.054548740386963	315.65362548828125	-0.08974528312683105	-193.41909790039062	0.5295767188072205	0.006461265031248331	0.0416666679084301	79.0	119.21816921234131
65	180.33333333333334	13.912424746867082	200.0	170.0	180.33333333333334	67.01880208333333	13.925521758627214	81.774925	36.432205	39600	2.913550615310669	355.9392395019531	-0.09401512145996094	-235.99603271484375	0.5003175139427185	0.01793525740504265	0.12333333492279053	7.0	120.85379767417908
